type,properties/msha_id,properties/namemsha,properties/county,tot_prod,properties/notes,properties/year,geometry/type,lon,lat
Feature,1517746,Thunder Ridge Mine,Leslie,286064,,2013,Point,-83.31280000034275,37.08779999994507
Feature,1517789,No 3,Pike,22800,,2013,Point,-82.4328000003255,37.383900000043624
Feature,1517792,#2,Bell,29791,,2013,Point,-83.50780000030063,36.75170000025428
Feature,1517799,S-4 Netley Branch,Pike,24345,,2013,Point,-82.19169999969901,37.539400000065086
Feature,1517871,Ghm #40,Whitley,33439,,2013,Point,-84.05959000636587,36.783608151404565
Feature,1517903,Mine No.2,Harlan,69044,,2013,Point,-83.11279999997134,36.90079999973773
Feature,1517941,No 2,Pike,296498,,2013,Point,-82.2307999997887,37.44559999988983
Feature,1517965,S-6 Little Creek,Letcher,505321,,2013,Point,-82.72500000023753,37.224999999754374
Feature,1517979,Mine No. 8,Pike,61149,,2013,Point,-82.25219999976196,37.44469999984708
Feature,1517993,#7,Letcher,74535,,2013,Point,-82.63829999980433,37.23279999988763
Feature,1518015,Bent Mtn,Pike,179401,,2013,Point,-82.43439999955953,37.58890000030643
Feature,1518025,S-15 Flag Knob,Pike,23602,,2013,Point,-82.48055499958141,37.60555500034247
Feature,1518029,No 2,Pike,56676,,2013,Point,-82.1641999996704,37.44749999992728
Feature,1518040,No. 6,Pike,445611,,2013,Point,-82.43530000008312,37.43829999989413
Feature,1518134,Halls Creek Mine,Muhlenberg,280287,,2013,Point,-87.11389999985487,37.25279999986666
Feature,1518197,Jarisa Cave Spur Mine,Harlan,203566,,2013,Point,-83.00720000022079,36.92669999976565
Feature,1518198,Panther Mine No. 1,Harlan,5742,,2013,Point,-82.99279999992815,36.9400000003535
Feature,1518241,Cloverlick # 1a,Harlan,4903,,2013,Point,-82.92280000042699,36.927199999662065
Feature,1518247,Big Branch,Harlan,425270,,2013,Point,-83.44722200041988,36.88888799991989
Feature,1518257,#1 Strip Mine,Bell,65920,,2013,Point,-83.59360000021024,36.71920000008524
Feature,1518277,K-3,Harlan,104791,,2013,Point,-83.09360000018002,36.91279999974375
Feature,1518280,S-1 Hunts Branch,Pike,378157,,2013,Point,-82.14419999981293,37.52580000026208
Feature,1518323,Doty Creek,Letcher,59199,,2013,Point,-82.91777800027215,37.20388899976978
Feature,1518326,No 4,Martin,182753,,2013,Point,-82.60143565223359,37.70124490897133
Feature,1518335,Dodge Hill Mine #1,Union,1023871,,2013,Point,-87.97890000042814,37.56560000028536
Feature,1518340,Mine No 4,Letcher,4530,,2013,Point,-82.86919999958725,37.02190000000551
Feature,1518363,Bevins Branch Surface Mine,Pike,366025,,2013,Point,-82.4053000002969,37.575599999701296
Feature,1518369,Black Pearl Mining Inc No 3,Pike,8597,,2013,Point,-82.20609999999165,37.46439999988548
Feature,1518376,Beechfork Mine,Leslie,337205,,2013,Point,-83.37310000038916,36.975000000009125
Feature,1518381,Taylor Fork Energy,Pike,370986,,2013,Point,-82.39780000012576,37.66939999967778
Feature,1518384,#5,Martin,40,,2013,Point,-82.60139999989661,37.70169999983018
Feature,1518401,No. 1,Letcher,94748,Refuse coal is included,2013,Point,-82.81444399992749,37.232776999711895
Feature,1518418,Joe's Run,Daviess,182042,,2013,Point,-86.88720000041931,37.75470000007214
Feature,1518436,Mine No. 1,Pike,18373,,2013,Point,-82.63580000004673,37.35059999969833
Feature,1518442,Auger Mine No 28,Magoffin,2058,,2013,Point,-83.42268532242633,37.033902229930895
Feature,1518454,Auger Mine No 29,Lawrence,5871,,2013,Point,-83.0522220000906,37.68250000026822
Feature,1518466,F-M #4,Whitley,117576,,2013,Point,-83.902199999682,36.69940000022547
Feature,1518481,Sandlick No. 1,Letcher,30882,,2013,Point,-82.8214000001255,37.14310000030777
Feature,1518516,No 1,Harlan,87990,,2013,Point,-83.43940000003347,36.88420000005153
Feature,1518524,Turkey Pen Refuse,Pike,7744,Refuse coal is included,2013,Point,-82.2289000000807,37.43579999987221
Feature,1518526,Jakes Branch Job,Perry,315794,,2013,Point,-83.29610000030905,37.28749999989581
