type,properties/plant_code,properties/PLANT_NAME,properties/UTILITY_ID,properties/UTILITY_NA,properties/primary_fu,total_cap,properties/cap_coal,properties/cap_ng,properties/cap_pet,properties/cap_otherf,properties/cap_nuc,properties/cap_bio,properties/cap_geo,properties/cap_hydro,properties/cap_pump,properties/cap_solar,properties/cap_wind,properties/cap_wood,properties/cap_other,properties/Capacity_b,properties/producer_t,properties/Source,properties/PrimaryFue,geometry/type,lon,lat
Feature,4270,Waterford 3,11241,Entergy Louisiana LLC,NUC,1156.4,0,0,0,,1156.4,,,0,0,0,0,,,Nuclear = 1156.4 MW,Electric Utility,EIA,Nuclear,Point,-90.47158100015804,29.995267000064537
Feature,4271,John P Madgett,4716,Dairyland Power Coop,COAL,388.8,388.8,0,0,,0,,,0,0,0,0,,,Coal = 388.8 MW,Electric Utility,EIA,Coal,Point,-91.91264699998287,44.30358299975552
Feature,4937,Thomas C Ferguson,11269,Lower Colorado River Authority,NG,510,0,510,0,,0,,,0,0,0,0,,,Natural Gas = 510 MW,Electric Utility,EIA,Natural Gas,Point,-98.37050000018218,30.558000000138613
Feature,4939,Barney M Davis,49979,Topaz Power Group  LLC,NG,968,0,968,0,,0,,,0,0,0,0,,,Natural Gas = 968 MW,IPP,EIA,Natural Gas,Point,-97.31169999975025,27.60640000013462
Feature,4940,Riverside,15474,Public Service Co of Oklahoma,NG,1069.8,0,1067,2.8,,0,,,0,0,0,0,,,Natural Gas = 1067 MW  Petroleum = 2.8 MW,Electric Utility,EIA,Natural Gas,Point,-95.9566999999738,35.99780000029544
Feature,4941,Navajo,16572,Salt River Project,COAL,2250,2250,0,0,,0,,,0,0,0,0,,,Coal = 2250 MW,Electric Utility,EIA,Coal,Point,-111.38860000021886,36.904699999876385
Feature,5083,Cumberland,56606,Calpine New Jersey Generation LLC,NG,183.1,0,183.1,0,,0,,,0,0,0,0,,,Natural Gas = 183.1 MW,IPP,EIA,Natural Gas,Point,-74.96539999987357,39.375699999921345
Feature,6000,Donald C Cook,9324,Indiana Michigan Power Co,NUC,2069,0,0,0,,2069,,,0,0,0,0,,,Nuclear = 2069 MW,Electric Utility,EIA,Nuclear,Point,-86.56520599968708,41.975604000042516
Feature,6001,Joseph M Farley,195,Alabama Power Co,NUC,1734,0,0,0,,1734,,,0,0,0,0,,,Nuclear = 1734 MW,Electric Utility,EIA,Nuclear,Point,-85.11159999999295,31.22310000013425
Feature,6002,James H Miller Jr,195,Alabama Power Co,COAL,2675.2,2675.2,0,0,,0,,,0,0,0,0,,,Coal = 2675.2 MW,Electric Utility,EIA,Coal,Point,-87.0596999998638,33.63189999975492
Feature,6004,FirstEnergy Pleasants Power Station,23279,Allegheny Energy Supply Co LLC,COAL,1288,1288,0,0,,0,,,0,0,0,0,,,Coal = 1288 MW,IPP,EIA,Coal,Point,-81.29444399997938,39.36666700021997
Feature,6006,Racine,14006,Ohio Power Co,HYC,20,0,0,0,,0,,,20,0,0,0,,,Hydro = 20 MW,Electric Utility,EIA,Hydroelectric,Point,-81.90809999959994,38.91530000026192
Feature,6008,Palo Verde,803,Arizona Public Service Co,NUC,3937,0,0,0,,3937,,,0,0,0,0,,,Nuclear = 3937 MW,Electric Utility,EIA,Nuclear,Point,-112.86170000033053,33.38809999974511
Feature,6009,White Bluff,814,Entergy Arkansas Inc,COAL,1636.7,1636.7,0,0,,0,,,0,0,0,0,,,Coal = 1636.7 MW,Electric Utility,EIA,Coal,Point,-92.14060000011942,34.42279999992347
Feature,6011,Calvert Cliffs Nuclear Power Plant,2876,Calvert Cliffs Nuclear PP LLC,NUC,1716,0,0,0,,1716,,,0,0,0,0,,,Nuclear = 1716 MW,IPP,EIA,Nuclear,Point,-76.4417000002499,38.43439999993623
Feature,6012,Sherman,50048,"TransCanada Hydro Northeast Inc.,",HYC,6.1,0,0,0,,0,,,6.1,0,0,0,,,Hydro = 6.1 MW,IPP,EIA,Hydroelectric,Point,-72.93029999999388,42.72970000017925
Feature,6013,Olive,2507,City of Burbank Water and Power,NG,99,0,99,0,,0,,,0,0,0,0,,,Natural Gas = 99 MW,Electric Utility,EIA,Natural Gas,Point,-118.31470000036897,34.17639999997033
