,lon,lat,class,oilgas,zoom
687,-107.5650024,36.7487488,DF,GAS,0.0
688,-107.5511398,36.7433891,DF,GAS,0.0
689,-97.8675093,28.6514401,DC,GAS,0.0
690,-98.5401047,26.5346492,DC,GAS,0.0
691,-97.3242459,33.0475643,DC,GAS,4.0
692,-93.4602289,32.3965714,DF,GAS,0.0
693,-92.5634806,32.3834856,DC,GAS,0.0
694,-93.5489803,32.5090521,DF,GAS,0.0
695,-89.0487132,29.2733538,DC,GAS,0.0
696,-90.00118140000002,29.7974305,DC,GAS,4.0
697,-89.08032320000002,29.0974482,DC,GAS,4.0
698,-92.4384669,30.7629738,DC,GAS,3.0
699,-93.4239501,32.4234321,DF,GAS,4.0
700,-93.9025467,32.117885,DF,GAS,0.0
701,-93.9025467,32.117940600000004,DF,GAS,0.0
702,-121.660787,38.13665200000001,DC,GAS,4.0
703,-119.519822,35.28787,DF,GAS,3.0
704,-119.399634,35.267558,DF,GAS,0.0
705,-103.3702469,32.0160522,DF,GAS,3.0
706,-101.7658183,30.3258772,DC,GAS,3.0
707,-89.5533861,29.9577027,DC,GAS,0.0
708,-89.7836792,29.3513331,DC,GAS,1.0
709,-92.5118125,32.3926518,DC,GAS,3.0
710,-99.127914,27.1220104,DC,GAS,0.0
711,-100.9167584,30.5687643,DC,GAS,3.0
712,-97.4171411,32.9270869,DF,GAS,4.0
713,-97.3537078,32.945644300000005,DF,GAS,2.0
714,-97.40843259999998,32.962250899999994,DC,GAS,3.0
715,-91.0605993,29.4357112,DC,GAS,2.0
716,-93.0998856,32.4662651,DF,GAS,0.0
717,-95.0592072,29.3709692,DC,GAS,0.0
718,-94.0382662,29.9534775,DC,GAS,0.0
719,-99.0825735,27.019317,DC,GAS,0.0
720,-99.1075862,26.6496694,DC,GAS,0.0
721,-97.4059922,27.8781885,DC,GAS,0.0
722,-94.6158309,32.4052835,DF,GAS,0.0
723,-97.3947923,32.98413230000001,DF,GAS,4.0
724,-97.3862347,33.00830730000001,DF,GAS,0.0
725,-97.4931566,33.089578700000004,DF,GAS,0.0
726,-97.3881601,32.9511196,DF,GAS,0.0
727,-108.3025742,36.9312401,DC,GAS,0.0
728,-89.5533861,29.9577027,DC,GAS,0.0
